planning_area,subzone,population,total_0_4,total_5_9,total_10_14,total_15_19,total_20_24,total_25_29,total_30_34,total_35_39,total_40_44,total_45_49,total_50_54,total_55_59,total_60_64,total_65_69,total_70_74,total_75_79,total_80_84,total_85_89,total_90_over,pop_density_pct,pop_elderly,pct_elderly
DOWNTOWN CORE,PHILLIP,10.0,,,,,,,,,,,,,,,,,,,,0.0002,0.0,0.0
DOWNTOWN CORE,RAFFLES PLACE,40.0,,,,,,,,,,,,,,,,,,,,0.001,0.0,0.0
DOWNTOWN CORE,TANJONG PAGAR,670.0,20.0,20.0,10.0,10.0,20.0,50.0,100.0,100.0,80.0,70.0,40.0,50.0,30.0,20.0,20.0,10.0,10.0,,30.0,0.0166,120.0,17.91
GEYLANG,ALJUNIED,39990.0,1250.0,1500.0,1730.0,1670.0,1920.0,2840.0,3000.0,2960.0,2980.0,3260.0,2860.0,3070.0,3120.0,2620.0,2080.0,1170.0,980.0,580.0,390.0,0.9924,10940.0,27.36
GEYLANG,GEYLANG EAST,29920.0,1100.0,1310.0,1440.0,1340.0,1560.0,2050.0,2000.0,2160.0,2350.0,2320.0,2050.0,2110.0,2230.0,1960.0,1750.0,900.0,680.0,410.0,210.0,0.7425,8140.0,27.21
GEYLANG,KALLANG WAY,30.0,,,,,,,,,,,,,,,,,,,,0.0007,0.0,0.0
GEYLANG,KAMPONG UBI,11800.0,400.0,460.0,520.0,560.0,750.0,1040.0,1010.0,800.0,800.0,750.0,750.0,1010.0,1100.0,840.0,520.0,260.0,130.0,60.0,40.0,0.2928,2950.0,25.0
GEYLANG,MACPHERSON,28360.0,1210.0,1000.0,1110.0,1270.0,1530.0,2010.0,2270.0,1880.0,1710.0,1860.0,2190.0,2410.0,2340.0,1870.0,1340.0,900.0,780.0,450.0,250.0,0.7038,7930.0,27.96
HOUGANG,DEFU INDUSTRIAL PARK,20.0,,,,,,,,,,,,,,,,,,,,0.0005,0.0,0.0
HOUGANG,HOUGANG CENTRAL,4720.0,130.0,130.0,210.0,280.0,340.0,440.0,350.0,260.0,240.0,320.0,400.0,400.0,430.0,310.0,210.0,110.0,90.0,40.0,30.0,0.1171,1220.0,25.85
HOUGANG,HOUGANG EAST,24920.0,1360.0,1230.0,1040.0,1090.0,1470.0,2110.0,2290.0,2160.0,1710.0,1640.0,1610.0,2070.0,1870.0,1370.0,920.0,480.0,280.0,150.0,80.0,0.6184,5150.0,20.67
HOUGANG,HOUGANG WEST,45460.0,1330.0,1420.0,1730.0,2000.0,2910.0,4030.0,3540.0,2750.0,2580.0,2960.0,3310.0,4430.0,4410.0,3390.0,2210.0,1090.0,730.0,430.0,220.0,1.1281,12480.0,27.45
HOUGANG,KANGKAR,32290.0,1760.0,1740.0,1570.0,1600.0,1690.0,2040.0,2710.0,2800.0,2480.0,2520.0,2170.0,2290.0,2200.0,1810.0,1280.0,740.0,540.0,250.0,120.0,0.8013,6940.0,21.49
HOUGANG,KOVAN,24810.0,900.0,1110.0,1270.0,1420.0,1650.0,1890.0,1660.0,1560.0,1700.0,1960.0,1740.0,1940.0,1920.0,1510.0,1120.0,590.0,450.0,240.0,180.0,0.6157,6010.0,24.22
HOUGANG,LORONG AH SOO,32320.0,950.0,1140.0,1390.0,1690.0,1910.0,2270.0,2180.0,2010.0,2180.0,2490.0,2410.0,2580.0,2700.0,2300.0,1810.0,980.0,750.0,410.0,180.0,0.8021,9130.0,28.25
HOUGANG,TAI SENG,13830.0,430.0,560.0,690.0,750.0,970.0,990.0,830.0,740.0,850.0,950.0,1020.0,1180.0,1170.0,970.0,670.0,420.0,350.0,200.0,120.0,0.3432,3900.0,28.2
HOUGANG,TRAFALGAR,49200.0,2260.0,2110.0,2420.0,2700.0,3220.0,3830.0,3640.0,3210.0,3340.0,3670.0,3950.0,4150.0,3930.0,2880.0,1910.0,880.0,600.0,350.0,150.0,1.221,10700.0,21.75
JURONG EAST,INTERNATIONAL BUSINESS PARK,10.0,,,,,,,,,,,,,,,,,,,,0.0002,0.0,0.0
JURONG EAST,JURONG GATEWAY,450.0,20.0,20.0,20.0,30.0,20.0,50.0,40.0,40.0,50.0,60.0,30.0,20.0,20.0,10.0,10.0,10.0,,,,0.0112,50.0,11.11
JURONG EAST,JURONG RIVER,10.0,,,,,,,,,,,,,,,,,,,,0.0002,0.0,0.0
JURONG EAST,LAKESIDE (LEISURE),1070.0,20.0,20.0,20.0,30.0,30.0,50.0,50.0,60.0,60.0,70.0,80.0,70.0,100.0,120.0,110.0,80.0,60.0,30.0,10.0,0.0266,510.0,47.66
JURONG EAST,PENJURU CRESCENT,10.0,,,,,,,,,,,,,,,,,,,,0.0002,0.0,0.0
JURONG EAST,TEBAN GARDENS,18530.0,760.0,840.0,890.0,930.0,1050.0,1150.0,1240.0,1350.0,1340.0,1340.0,1270.0,1360.0,1350.0,1410.0,1170.0,530.0,330.0,150.0,80.0,0.4598,5020.0,27.09
JURONG EAST,TOH GUAN,14590.0,420.0,500.0,670.0,860.0,1000.0,1260.0,1080.0,920.0,890.0,1120.0,1070.0,1280.0,1400.0,1010.0,570.0,240.0,170.0,110.0,50.0,0.3621,3550.0,24.33
JURONG EAST,YUHUA EAST,24770.0,690.0,830.0,1040.0,1240.0,1420.0,1790.0,1650.0,1610.0,1690.0,1810.0,1750.0,1890.0,2170.0,1960.0,1560.0,720.0,510.0,280.0,150.0,0.6147,7350.0,29.67
JURONG EAST,YUHUA WEST,19160.0,600.0,690.0,900.0,1070.0,1240.0,1400.0,1310.0,1100.0,1200.0,1460.0,1440.0,1600.0,1640.0,1430.0,1010.0,480.0,340.0,170.0,100.0,0.4755,5170.0,26.98
JURONG WEST,BOON LAY PLACE,29340.0,1520.0,1630.0,1600.0,1670.0,1850.0,1960.0,2270.0,2470.0,2140.0,2240.0,2250.0,2120.0,1790.0,1500.0,1090.0,590.0,390.0,170.0,90.0,0.7281,5620.0,19.15
JURONG WEST,HONG KAH,53890.0,1870.0,2180.0,2590.0,3060.0,3320.0,3730.0,3720.0,3710.0,3840.0,4190.0,3960.0,4010.0,4310.0,3900.0,2790.0,1330.0,800.0,400.0,180.0,1.3374,13710.0,25.44
JURONG WEST,JURONG WEST CENTRAL,63760.0,2530.0,3570.0,4190.0,4040.0,3750.0,4160.0,4690.0,5490.0,6140.0,5760.0,4590.0,4170.0,4040.0,3160.0,1880.0,770.0,490.0,240.0,120.0,1.5823,10700.0,16.78
JURONG WEST,KIAN TECK,40.0,,,,,,,,,,,,,,,,,,,,0.001,0.0,0.0
JURONG WEST,TAMAN JURONG,39920.0,2030.0,2180.0,2260.0,2430.0,2650.0,2860.0,2910.0,3120.0,3040.0,3160.0,3230.0,2840.0,2490.0,1970.0,1330.0,660.0,410.0,250.0,110.0,0.9907,7220.0,18.09
