date,year,month,day,station_id,station,station_name,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,wind_mean_kmh,wind_max_kmh
2013-04-30,2013,4,30,S06,S06,Paya Lebar Meteorological Station,0.0,,34.3,25.1,3.9,16.6
2013-05-01,2013,5,1,S06,S06,Paya Lebar Meteorological Station,0.0,,32.2,26.8,4.8,16.6
2013-05-02,2013,5,2,S06,S06,Paya Lebar Meteorological Station,0.0,,32.7,27.1,4.3,14.8
2013-05-03,2013,5,3,S06,S06,Paya Lebar Meteorological Station,6.0,,31.3,26.4,3.5,13.0
2013-05-04,2013,5,4,S06,S06,Paya Lebar Meteorological Station,1.0,,32.4,26.7,5.4,14.8
2013-05-05,2013,5,5,S06,S06,Paya Lebar Meteorological Station,18.4,,31.2,25.2,4.1,13.0
2013-05-06,2013,5,6,S06,S06,Paya Lebar Meteorological Station,0.0,,33.0,26.2,2.7,13.0
2013-05-07,2013,5,7,S06,S06,Paya Lebar Meteorological Station,25.3,,33.4,24.1,4.4,25.9
2013-05-08,2013,5,8,S06,S06,Paya Lebar Meteorological Station,0.5,,31.9,25.6,4.2,16.6
2013-05-09,2013,5,9,S06,S06,Paya Lebar Meteorological Station,5.2,,33.1,26.1,4.8,20.5
2013-05-10,2013,5,10,S06,S06,Paya Lebar Meteorological Station,0.7,,33.2,27.1,3.6,18.4
2013-05-11,2013,5,11,S06,S06,Paya Lebar Meteorological Station,0.0,,30.7,27.2,5.5,14.8
2013-05-12,2013,5,12,S06,S06,Paya Lebar Meteorological Station,0.0,,34.7,25.1,5.6,16.6
2013-05-13,2013,5,13,S06,S06,Paya Lebar Meteorological Station,0.0,,34.1,27.7,4.7,14.8
2013-05-14,2013,5,14,S06,S06,Paya Lebar Meteorological Station,0.0,,32.1,27.5,2.7,16.6
2013-05-15,2013,5,15,S06,S06,Paya Lebar Meteorological Station,26.7,,34.1,23.2,4.7,14.8
2013-05-16,2013,5,16,S06,S06,Paya Lebar Meteorological Station,1.9,,32.2,23.6,5.7,22.3
2013-05-17,2013,5,17,S06,S06,Paya Lebar Meteorological Station,0.0,,35.1,26.9,4.6,13.0
2013-05-18,2013,5,18,S06,S06,Paya Lebar Meteorological Station,0.0,,31.3,26.5,4.7,14.8
2013-05-19,2013,5,19,S06,S06,Paya Lebar Meteorological Station,0.0,,34.0,26.9,4.9,13.0
2013-05-20,2013,5,20,S06,S06,Paya Lebar Meteorological Station,0.0,,32.6,25.9,3.9,13.0
2013-05-21,2013,5,21,S06,S06,Paya Lebar Meteorological Station,4.0,,33.7,25.9,3.3,13.0
2013-05-22,2013,5,22,S06,S06,Paya Lebar Meteorological Station,0.2,,32.0,26.2,5.0,14.8
2013-05-23,2013,5,23,S06,S06,Paya Lebar Meteorological Station,0.0,,32.4,26.7,3.8,11.2
2013-05-24,2013,5,24,S06,S06,Paya Lebar Meteorological Station,4.9,,29.9,24.5,3.5,16.6
2013-05-25,2013,5,25,S06,S06,Paya Lebar Meteorological Station,0.0,,34.2,26.7,4.3,13.0
2013-05-26,2013,5,26,S06,S06,Paya Lebar Meteorological Station,8.3,,32.5,25.3,3.1,13.0
2013-05-27,2013,5,27,S06,S06,Paya Lebar Meteorological Station,0.0,,33.6,25.7,5.2,16.6
2013-05-28,2013,5,28,S06,S06,Paya Lebar Meteorological Station,0.0,,33.2,26.6,7.4,27.7
2013-05-29,2013,5,29,S06,S06,Paya Lebar Meteorological Station,1.0,,29.0,25.2,5.9,18.4
2013-05-30,2013,5,30,S06,S06,Paya Lebar Meteorological Station,0.1,,33.7,24.6,11.7,51.8
2013-05-31,2013,5,31,S06,S06,Paya Lebar Meteorological Station,35.9,,33.8,25.3,8.3,33.5
2013-06-01,2013,6,1,S06,S06,Paya Lebar Meteorological Station,1.2,,33.7,23.8,8.2,63.0
2013-06-02,2013,6,2,S06,S06,Paya Lebar Meteorological Station,0.0,,33.6,25.9,7.4,25.9
2013-06-03,2013,6,3,S06,S06,Paya Lebar Meteorological Station,38.0,,33.5,26.2,7.6,24.1
2013-06-04,2013,6,4,S06,S06,Paya Lebar Meteorological Station,0.0,,32.2,26.1,8.8,27.7
2013-06-05,2013,6,5,S06,S06,Paya Lebar Meteorological Station,64.1,,35.0,23.6,9.2,37.1
2013-06-06,2013,6,6,S06,S06,Paya Lebar Meteorological Station,22.4,,34.2,25.2,11.0,35.3
2013-06-07,2013,6,7,S06,S06,Paya Lebar Meteorological Station,7.9,,35.4,25.8,6.8,40.7
2013-06-08,2013,6,8,S06,S06,Paya Lebar Meteorological Station,0.0,,32.8,26.1,7.8,37.1
2013-06-09,2013,6,9,S06,S06,Paya Lebar Meteorological Station,2.8,,30.7,24.9,9.7,37.1
2013-06-10,2013,6,10,S06,S06,Paya Lebar Meteorological Station,7.9,,33.4,25.3,10.6,35.3
2013-06-11,2013,6,11,S06,S06,Paya Lebar Meteorological Station,0.0,,32.6,26.0,13.6,37.1
2013-06-12,2013,6,12,S06,S06,Paya Lebar Meteorological Station,0.0,,34.0,28.8,12.0,42.5
