subzone_code,subzone_name,planning_area,region,geometry_type
RCSZ01,FARRER PARK,ROCHOR,CENTRAL REGION,Polygon
NTSZ03,NEWTON CIRCUS,NEWTON,CENTRAL REGION,Polygon
JESZ10,JURONG PORT,JURONG EAST,WEST REGION,MultiPolygon
AMSZ01,ANG MO KIO TOWN CENTRE,ANG MO KIO,NORTH-EAST REGION,Polygon
AMSZ06,KEBUN BAHRU,ANG MO KIO,NORTH-EAST REGION,Polygon
SGSZ02,SERANGOON NORTH IND ESTATE,SERANGOON,NORTH-EAST REGION,Polygon
THSZ02,TENGAH INDUSTRIAL ESTATE,TENGAH,WEST REGION,Polygon
BLSZ03,SAMULUN,BOON LAY,WEST REGION,Polygon
BLSZ04,SHIPYARD,BOON LAY,WEST REGION,Polygon
QTSZ01,GHIM MOH,QUEENSTOWN,CENTRAL REGION,Polygon
KLSZ06,LAVENDER,KALLANG,CENTRAL REGION,Polygon
BDSZ05,FRANKEL,BEDOK,EAST REGION,Polygon
CLSZ04,CLEMENTI NORTH,CLEMENTI,WEST REGION,Polygon
BTSZ07,LEEDON PARK,BUKIT TIMAH,CENTRAL REGION,Polygon
GLSZ05,GEYLANG EAST,GEYLANG,CENTRAL REGION,Polygon
JESZ09,TEBAN GARDENS,JURONG EAST,WEST REGION,Polygon
JESZ08,JURONG RIVER,JURONG EAST,WEST REGION,Polygon
KLSZ02,GEYLANG BAHRU,KALLANG,CENTRAL REGION,Polygon
NTSZ02,GOODWOOD PARK,NEWTON,CENTRAL REGION,Polygon
CLSZ09,PANDAN,CLEMENTI,WEST REGION,Polygon
QTSZ09,SINGAPORE POLYTECHNIC,QUEENSTOWN,CENTRAL REGION,Polygon
CLSZ06,CLEMENTI CENTRAL,CLEMENTI,WEST REGION,Polygon
KLSZ07,KAMPONG JAVA,KALLANG,CENTRAL REGION,Polygon
KLSZ03,BOON KENG,KALLANG,CENTRAL REGION,Polygon
KLSZ08,KALLANG BAHRU,KALLANG,CENTRAL REGION,Polygon
BTSZ04,ULU PANDAN,BUKIT TIMAH,CENTRAL REGION,Polygon
BTSZ08,FARRER COURT,BUKIT TIMAH,CENTRAL REGION,Polygon
TNSZ01,NASSIM,TANGLIN,CENTRAL REGION,Polygon
CLSZ05,WEST COAST,CLEMENTI,WEST REGION,Polygon
BDSZ08,BAYSHORE,BEDOK,EAST REGION,Polygon
PNSZ03,BENOI SECTOR,PIONEER,WEST REGION,Polygon
PNSZ02,GUL CIRCLE,PIONEER,WEST REGION,Polygon
TNSZ04,TYERSALL,TANGLIN,CENTRAL REGION,Polygon
NVSZ02,MOULMEIN,NOVENA,CENTRAL REGION,Polygon
BLSZ02,LIU FANG,BOON LAY,WEST REGION,Polygon
ORSZ01,TANGLIN,ORCHARD,CENTRAL REGION,Polygon
MPSZ03,MARINE PARADE,MARINE PARADE,CENTRAL REGION,Polygon
PNSZ01,JOO KOON,PIONEER,WEST REGION,Polygon
GLSZ01,KALLANG WAY,GEYLANG,CENTRAL REGION,Polygon
JESZ07,INTERNATIONAL BUSINESS PARK,JURONG EAST,WEST REGION,Polygon
BLSZ01,TUKANG,BOON LAY,WEST REGION,Polygon
BTSZ06,CORONATION ROAD,BUKIT TIMAH,CENTRAL REGION,Polygon
BDSZ03,KEMBANGAN,BEDOK,EAST REGION,Polygon
